,chip_id,location,datetime,cloudpath,B02_path,B03_path,B04_path,B08_path,label_path,fold
48,afgu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afgu,/data/train_features/afgu/B02.tif,/data/train_features/afgu/B03.tif,/data/train_features/afgu/B04.tif,/data/train_features/afgu/B08.tif,/data/train_labels/afgu.tif,2
49,afhi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afhi,/data/train_features/afhi/B02.tif,/data/train_features/afhi/B03.tif,/data/train_features/afhi/B04.tif,/data/train_features/afhi/B08.tif,/data/train_labels/afhi.tif,2
50,afjm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afjm,/data/train_features/afjm/B02.tif,/data/train_features/afjm/B03.tif,/data/train_features/afjm/B04.tif,/data/train_features/afjm/B08.tif,/data/train_labels/afjm.tif,2
51,afjp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afjp,/data/train_features/afjp/B02.tif,/data/train_features/afjp/B03.tif,/data/train_features/afjp/B04.tif,/data/train_features/afjp/B08.tif,/data/train_labels/afjp.tif,2
52,afkx,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afkx,/data/train_features/afkx/B02.tif,/data/train_features/afkx/B03.tif,/data/train_features/afkx/B04.tif,/data/train_features/afkx/B08.tif,/data/train_labels/afkx.tif,2
53,afmv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afmv,/data/train_features/afmv/B02.tif,/data/train_features/afmv/B03.tif,/data/train_features/afmv/B04.tif,/data/train_features/afmv/B08.tif,/data/train_labels/afmv.tif,2
54,afna,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afna,/data/train_features/afna/B02.tif,/data/train_features/afna/B03.tif,/data/train_features/afna/B04.tif,/data/train_features/afna/B08.tif,/data/train_labels/afna.tif,2
55,afof,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afof,/data/train_features/afof/B02.tif,/data/train_features/afof/B03.tif,/data/train_features/afof/B04.tif,/data/train_features/afof/B08.tif,/data/train_labels/afof.tif,2
56,afor,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afor,/data/train_features/afor/B02.tif,/data/train_features/afor/B03.tif,/data/train_features/afor/B04.tif,/data/train_features/afor/B08.tif,/data/train_labels/afor.tif,2
57,afpr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afpr,/data/train_features/afpr/B02.tif,/data/train_features/afpr/B03.tif,/data/train_features/afpr/B04.tif,/data/train_features/afpr/B08.tif,/data/train_labels/afpr.tif,2
58,afqf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afqf,/data/train_features/afqf/B02.tif,/data/train_features/afqf/B03.tif,/data/train_features/afqf/B04.tif,/data/train_features/afqf/B08.tif,/data/train_labels/afqf.tif,2
59,afqi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afqi,/data/train_features/afqi/B02.tif,/data/train_features/afqi/B03.tif,/data/train_features/afqi/B04.tif,/data/train_features/afqi/B08.tif,/data/train_labels/afqi.tif,2
60,aftk,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aftk,/data/train_features/aftk/B02.tif,/data/train_features/aftk/B03.tif,/data/train_features/aftk/B04.tif,/data/train_features/aftk/B08.tif,/data/pseudo_labels/aftk.tif,2
61,aftu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aftu,/data/train_features/aftu/B02.tif,/data/train_features/aftu/B03.tif,/data/train_features/aftu/B04.tif,/data/train_features/aftu/B08.tif,/data/train_labels/aftu.tif,2
62,afuh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afuh,/data/train_features/afuh/B02.tif,/data/train_features/afuh/B03.tif,/data/train_features/afuh/B04.tif,/data/train_features/afuh/B08.tif,/data/train_labels/afuh.tif,2
63,afuu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afuu,/data/train_features/afuu/B02.tif,/data/train_features/afuu/B03.tif,/data/train_features/afuu/B04.tif,/data/train_features/afuu/B08.tif,/data/train_labels/afuu.tif,2
64,afva,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afva,/data/train_features/afva/B02.tif,/data/train_features/afva/B03.tif,/data/train_features/afva/B04.tif,/data/train_features/afva/B08.tif,/data/train_labels/afva.tif,2
65,afvk,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afvk,/data/train_features/afvk/B02.tif,/data/train_features/afvk/B03.tif,/data/train_features/afvk/B04.tif,/data/train_features/afvk/B08.tif,/data/train_labels/afvk.tif,2
66,afxz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afxz,/data/train_features/afxz/B02.tif,/data/train_features/afxz/B03.tif,/data/train_features/afxz/B04.tif,/data/train_features/afxz/B08.tif,/data/train_labels/afxz.tif,2
67,afyo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afyo,/data/train_features/afyo/B02.tif,/data/train_features/afyo/B03.tif,/data/train_features/afyo/B04.tif,/data/train_features/afyo/B08.tif,/data/pseudo_labels/afyo.tif,2
68,afyr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afyr,/data/train_features/afyr/B02.tif,/data/train_features/afyr/B03.tif,/data/train_features/afyr/B04.tif,/data/train_features/afyr/B08.tif,/data/pseudo_labels/afyr.tif,2
69,afys,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afys,/data/train_features/afys/B02.tif,/data/train_features/afys/B03.tif,/data/train_features/afys/B04.tif,/data/train_features/afys/B08.tif,/data/train_labels/afys.tif,2
70,afzv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afzv,/data/train_features/afzv/B02.tif,/data/train_features/afzv/B03.tif,/data/train_features/afzv/B04.tif,/data/train_features/afzv/B08.tif,/data/train_labels/afzv.tif,2
71,agak,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agak,/data/train_features/agak/B02.tif,/data/train_features/agak/B03.tif,/data/train_features/agak/B04.tif,/data/train_features/agak/B08.tif,/data/train_labels/agak.tif,2
72,agar,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agar,/data/train_features/agar/B02.tif,/data/train_features/agar/B03.tif,/data/train_features/agar/B04.tif,/data/train_features/agar/B08.tif,/data/train_labels/agar.tif,2
73,agca,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agca,/data/train_features/agca/B02.tif,/data/train_features/agca/B03.tif,/data/train_features/agca/B04.tif,/data/train_features/agca/B08.tif,/data/train_labels/agca.tif,2
74,agcc,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agcc,/data/train_features/agcc/B02.tif,/data/train_features/agcc/B03.tif,/data/train_features/agcc/B04.tif,/data/train_features/agcc/B08.tif,/data/train_labels/agcc.tif,2
75,agel,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agel,/data/train_features/agel/B02.tif,/data/train_features/agel/B03.tif,/data/train_features/agel/B04.tif,/data/train_features/agel/B08.tif,/data/train_labels/agel.tif,2
76,agex,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agex,/data/train_features/agex/B02.tif,/data/train_features/agex/B03.tif,/data/train_features/agex/B04.tif,/data/train_features/agex/B08.tif,/data/train_labels/agex.tif,2
77,agfg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agfg,/data/train_features/agfg/B02.tif,/data/train_features/agfg/B03.tif,/data/train_features/agfg/B04.tif,/data/train_features/agfg/B08.tif,/data/train_labels/agfg.tif,2
78,agfl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agfl,/data/train_features/agfl/B02.tif,/data/train_features/agfl/B03.tif,/data/train_features/agfl/B04.tif,/data/train_features/agfl/B08.tif,/data/train_labels/agfl.tif,2
79,aggm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aggm,/data/train_features/aggm/B02.tif,/data/train_features/aggm/B03.tif,/data/train_features/aggm/B04.tif,/data/train_features/aggm/B08.tif,/data/train_labels/aggm.tif,2
80,aght,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aght,/data/train_features/aght/B02.tif,/data/train_features/aght/B03.tif,/data/train_features/aght/B04.tif,/data/train_features/aght/B08.tif,/data/train_labels/aght.tif,2
81,agiw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agiw,/data/train_features/agiw/B02.tif,/data/train_features/agiw/B03.tif,/data/train_features/agiw/B04.tif,/data/train_features/agiw/B08.tif,/data/train_labels/agiw.tif,2
82,agja,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agja,/data/train_features/agja/B02.tif,/data/train_features/agja/B03.tif,/data/train_features/agja/B04.tif,/data/train_features/agja/B08.tif,/data/train_labels/agja.tif,2
83,agjg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agjg,/data/train_features/agjg/B02.tif,/data/train_features/agjg/B03.tif,/data/train_features/agjg/B04.tif,/data/train_features/agjg/B08.tif,/data/train_labels/agjg.tif,2
84,agjn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agjn,/data/train_features/agjn/B02.tif,/data/train_features/agjn/B03.tif,/data/train_features/agjn/B04.tif,/data/train_features/agjn/B08.tif,/data/train_labels/agjn.tif,2
85,agka,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agka,/data/train_features/agka/B02.tif,/data/train_features/agka/B03.tif,/data/train_features/agka/B04.tif,/data/train_features/agka/B08.tif,/data/train_labels/agka.tif,2
86,agkf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agkf,/data/train_features/agkf/B02.tif,/data/train_features/agkf/B03.tif,/data/train_features/agkf/B04.tif,/data/train_features/agkf/B08.tif,/data/train_labels/agkf.tif,2
87,agld,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agld,/data/train_features/agld/B02.tif,/data/train_features/agld/B03.tif,/data/train_features/agld/B04.tif,/data/train_features/agld/B08.tif,/data/train_labels/agld.tif,2
88,aglv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aglv,/data/train_features/aglv/B02.tif,/data/train_features/aglv/B03.tif,/data/train_features/aglv/B04.tif,/data/train_features/aglv/B08.tif,/data/train_labels/aglv.tif,2
89,agma,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agma,/data/train_features/agma/B02.tif,/data/train_features/agma/B03.tif,/data/train_features/agma/B04.tif,/data/train_features/agma/B08.tif,/data/train_labels/agma.tif,2
90,agmz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agmz,/data/train_features/agmz/B02.tif,/data/train_features/agmz/B03.tif,/data/train_features/agmz/B04.tif,/data/train_features/agmz/B08.tif,/data/train_labels/agmz.tif,2
91,agnm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnm,/data/train_features/agnm/B02.tif,/data/train_features/agnm/B03.tif,/data/train_features/agnm/B04.tif,/data/train_features/agnm/B08.tif,/data/train_labels/agnm.tif,2
92,agno,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agno,/data/train_features/agno/B02.tif,/data/train_features/agno/B03.tif,/data/train_features/agno/B04.tif,/data/train_features/agno/B08.tif,/data/train_labels/agno.tif,2
93,agnq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnq,/data/train_features/agnq/B02.tif,/data/train_features/agnq/B03.tif,/data/train_features/agnq/B04.tif,/data/train_features/agnq/B08.tif,/data/train_labels/agnq.tif,2
94,agnw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnw,/data/train_features/agnw/B02.tif,/data/train_features/agnw/B03.tif,/data/train_features/agnw/B04.tif,/data/train_features/agnw/B08.tif,/data/train_labels/agnw.tif,2
95,agpb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpb,/data/train_features/agpb/B02.tif,/data/train_features/agpb/B03.tif,/data/train_features/agpb/B04.tif,/data/train_features/agpb/B08.tif,/data/pseudo_labels/agpb.tif,2
96,agpn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpn,/data/train_features/agpn/B02.tif,/data/train_features/agpn/B03.tif,/data/train_features/agpn/B04.tif,/data/train_features/agpn/B08.tif,/data/train_labels/agpn.tif,2
97,agpw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpw,/data/train_features/agpw/B02.tif,/data/train_features/agpw/B03.tif,/data/train_features/agpw/B04.tif,/data/train_features/agpw/B08.tif,/data/pseudo_labels/agpw.tif,2
98,agqv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agqv,/data/train_features/agqv/B02.tif,/data/train_features/agqv/B03.tif,/data/train_features/agqv/B04.tif,/data/train_features/agqv/B08.tif,/data/pseudo_labels/agqv.tif,2
99,agrp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agrp,/data/train_features/agrp/B02.tif,/data/train_features/agrp/B03.tif,/data/train_features/agrp/B04.tif,/data/train_features/agrp/B08.tif,/data/train_labels/agrp.tif,2
100,agsm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agsm,/data/train_features/agsm/B02.tif,/data/train_features/agsm/B03.tif,/data/train_features/agsm/B04.tif,/data/train_features/agsm/B08.tif,/data/train_labels/agsm.tif,2
101,agsp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agsp,/data/train_features/agsp/B02.tif,/data/train_features/agsp/B03.tif,/data/train_features/agsp/B04.tif,/data/train_features/agsp/B08.tif,/data/train_labels/agsp.tif,2
102,agtf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtf,/data/train_features/agtf/B02.tif,/data/train_features/agtf/B03.tif,/data/train_features/agtf/B04.tif,/data/train_features/agtf/B08.tif,/data/pseudo_labels/agtf.tif,2
103,agtl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtl,/data/train_features/agtl/B02.tif,/data/train_features/agtl/B03.tif,/data/train_features/agtl/B04.tif,/data/train_features/agtl/B08.tif,/data/train_labels/agtl.tif,2
104,agtu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtu,/data/train_features/agtu/B02.tif,/data/train_features/agtu/B03.tif,/data/train_features/agtu/B04.tif,/data/train_features/agtu/B08.tif,/data/train_labels/agtu.tif,2
105,aguh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aguh,/data/train_features/aguh/B02.tif,/data/train_features/aguh/B03.tif,/data/train_features/aguh/B04.tif,/data/train_features/aguh/B08.tif,/data/train_labels/aguh.tif,2
106,agvj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agvj,/data/train_features/agvj/B02.tif,/data/train_features/agvj/B03.tif,/data/train_features/agvj/B04.tif,/data/train_features/agvj/B08.tif,/data/pseudo_labels/agvj.tif,2
107,agvq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agvq,/data/train_features/agvq/B02.tif,/data/train_features/agvq/B03.tif,/data/train_features/agvq/B04.tif,/data/train_features/agvq/B08.tif,/data/train_labels/agvq.tif,2
108,agwe,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agwe,/data/train_features/agwe/B02.tif,/data/train_features/agwe/B03.tif,/data/train_features/agwe/B04.tif,/data/train_features/agwe/B08.tif,/data/train_labels/agwe.tif,2
109,agxr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agxr,/data/train_features/agxr/B02.tif,/data/train_features/agxr/B03.tif,/data/train_features/agxr/B04.tif,/data/train_features/agxr/B08.tif,/data/train_labels/agxr.tif,2
110,agxs,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agxs,/data/train_features/agxs/B02.tif,/data/train_features/agxs/B03.tif,/data/train_features/agxs/B04.tif,/data/train_features/agxs/B08.tif,/data/train_labels/agxs.tif,2
111,agyq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agyq,/data/train_features/agyq/B02.tif,/data/train_features/agyq/B03.tif,/data/train_features/agyq/B04.tif,/data/train_features/agyq/B08.tif,/data/train_labels/agyq.tif,2
